kind,basis,total,examined,independently_checked,supported,refuted,disputed,unresolved
institution,documented,11,0,0,0,0,0,0
institution,reported,9,0,0,0,0,0,0
institution,inferred,3,0,0,0,0,0,0
institution,unsubstantiated,2,2,0,0,0,0,0
institution,unknown,182,0,0,0,0,0,0
person,documented,36,0,0,0,0,0,0
person,reported,406,0,0,0,0,1,0
person,inferred,6,0,0,0,0,0,0
person,unsubstantiated,2,2,0,0,0,0,0
position,documented,56,8,0,0,0,5,0
position,reported,363,19,0,0,0,12,0
position,inferred,1,0,0,0,0,0,0
position,unsubstantiated,2,2,0,0,0,2,0
relationship,documented,93,0,0,0,0,0,0
relationship,reported,247,1,0,0,0,2,0
relationship,inferred,16,1,0,0,0,0,0
relationship,unsubstantiated,6,6,0,0,0,0,0
event,documented,35,0,0,0,0,16,0
event,reported,74,0,0,0,0,20,0
event,inferred,3,1,0,0,0,1,0
agreement,documented,21,0,0,0,0,3,0
agreement,reported,2,0,0,0,0,1,0
world-claim,documented,5,0,0,0,0,4,0
world-claim,reported,1,0,0,0,0,1,0
world-claim,unsubstantiated,4,4,0,0,0,1,0
company,documented,9,0,0,0,0,0,0
company,reported,16,0,0,0,0,1,0
contract,documented,5,0,0,0,0,1,0
contract,reported,8,0,0,0,0,1,0
contract,unsubstantiated,2,0,0,0,0,0,0
licence,documented,6,0,0,0,0,0,0
licence,reported,5,0,0,0,0,0,0
declaration,documented,3,0,0,0,0,0,0
declaration,reported,6,0,0,0,0,0,0
education,reported,24,0,0,0,0,0,0
education,unsubstantiated,1,0,0,0,0,0,0
place,documented,41,0,0,0,0,0,0
place,inferred,3,0,0,0,0,0,0
